,Sat2Earth_x,Sat2Earth_y,Sat2Earth_z
194,-18735,-8777.7,-682.74
195,-18713,-8880.8,-720.78
196,-18690,-8983.3,-758.78
197,-18665,-9085.4,-796.73
198,-18640,-9187,-834.63
199,-18614,-9288.1,-872.49
200,-18586,-9388.8,-910.3
201,-18558,-9488.9,-948.05
202,-18529,-9588.5,-985.75
203,-18499,-9687.6,-1023.4
204,-18468,-9786.2,-1061
205,-18436,-9884.3,-1098.5
206,-18403,-9981.9,-1136
207,-18369,-10079,-1173.4
208,-18334,-10176,-1210.8
209,-18299,-10272,-1248
210,-18262,-10367,-1285.3
211,-18225,-10462,-1322.4
212,-18186,-10557,-1359.5
213,-18147,-10651,-1396.5
214,-18107,-10744,-1433.5
215,-18066,-10837,-1470.3
216,-18024,-10929,-1507.1
217,-17981,-11021,-1543.8
218,-17937,-11112,-1580.5
219,-17892,-11203,-1617.1
220,-17847,-11293,-1653.6
221,-17800,-11383,-1690
222,-17753,-11472,-1726.3
223,-17705,-11560,-1762.5
224,-17656,-11648,-1798.7
225,-17606,-11735,-1834.8
226,-17555,-11822,-1870.7
227,-17504,-11908,-1906.6
228,-17451,-11994,-1942.4
229,-17398,-12079,-1978.2
230,-17344,-12164,-2013.8
231,-17289,-12248,-2049.3
232,-17233,-12331,-2084.7
233,-17177,-12414,-2120.1
234,-17119,-12496,-2155.3
235,-17061,-12577,-2190.4
236,-17002,-12658,-2225.4
237,-16942,-12739,-2260.4
238,-16881,-12818,-2295.2
239,-16819,-12897,-2329.9
240,-16757,-12976,-2364.5
241,-16694,-13054,-2399
242,-16630,-13131,-2433.4
243,-16565,-13208,-2467.6
244,-16499,-13284,-2501.8
245,-16433,-13359,-2535.8
246,-16366,-13434,-2569.7
247,-16297,-13508,-2603.5
248,-16229,-13582,-2637.2
249,-16159,-13655,-2670.8
250,-16089,-13727,-2704.2
251,-16017,-13798,-2737.5
252,-15945,-13869,-2770.7
253,-15873,-13939,-2803.7
254,-15799,-14009,-2836.6
255,-15725,-14078,-2869.4
256,-15650,-14146,-2902
257,-15574,-14214,-2934.5
258,-15497,-14280,-2966.9
259,-15420,-14346,-2999.1
260,-15342,-14412,-3031.2
261,-15263,-14477,-3063.1
262,-15183,-14541,-3094.9
263,-15103,-14604,-3126.6
264,-15022,-14667,-3158
265,-14940,-14729,-3189.4
266,-14857,-14790,-3220.5
267,-14774,-14850,-3251.6
268,-14690,-14910,-3282.4
269,-14605,-14969,-3313.1
270,-14519,-15027,-3343.6
271,-14433,-15085,-3374
272,-14346,-15142,-3404.2
273,-14259,-15198,-3434.2
274,-14170,-15253,-3464.1
275,-14081,-15308,-3493.8
276,-13991,-15361,-3523.4
277,-13900,-15415,-3552.9
278,-13808,-15467,-3582.2
279,-13716,-15519,-3611.3
280,-13623,-15570,-3640.3
281,-13529,-15620,-3669.2
282,-13434,-15669,-3697.8
283,-13339,-15718,-3726.3
284,-13242,-15766,-3754.6
285,-13145,-15813,-3782.7
286,-13048,-15859,-3810.6
287,-12949,-15905,-3838.3
288,-12850,-15949,-3865.9
289,-12750,-15993,-3893.2
290,-12650,-16036,-3920.3
291,-12549,-16078,-3947.2
292,-12447,-16119,-3973.9
293,-12345,-16159,-4000.4
294,-12241,-16199,-4026.7
295,-12138,-16237,-4052.7
296,-12033,-16275,-4078.5
297,-11928,-16312,-4104.1
298,-11823,-16348,-4129.5
299,-11717,-16383,-4154.6
300,-11610,-16417,-4179.5
301,-11502,-16450,-4204.1
302,-11395,-16482,-4228.5
303,-11286,-16513,-4252.6
304,-11177,-16544,-4276.5
305,-11067,-16573,-4300.2
306,-10957,-16601,-4323.5
307,-10846,-16629,-4346.7
308,-10735,-16655,-4369.5
309,-10623,-16681,-4392.1
310,-10511,-16706,-4414.5
311,-10398,-16729,-4436.6
312,-10284,-16752,-4458.4
313,-10171,-16774,-4479.9
314,-10056,-16794,-4501.2
315,-9941.1,-16814,-4522.2
316,-9825.7,-16833,-4542.9
317,-9709.7,-16851,-4563.3
318,-9593.3,-16867,-4583.5
319,-9476.4,-16883,-4603.4
320,-9359,-16898,-4623
321,-9241.1,-16912,-4642.3
322,-9122.7,-16924,-4661.3
323,-9003.8,-16936,-4680
324,-8884.5,-16947,-4698.4
325,-8764.7,-16957,-4716.6
326,-8644.4,-16965,-4734.4
327,-8523.7,-16973,-4752
328,-8402.4,-16979,-4769.2
329,-8280.8,-16985,-4786.2
330,-8158.6,-16989,-4802.8
331,-8036,-16992,-4819.1
332,-7913,-16995,-4835.1
333,-7789.4,-16996,-4850.8
334,-7665.4,-16996,-4866.2
335,-7541,-16995,-4881.3
336,-7416.1,-16993,-4896.1
337,-7290.8,-16990,-4910.5
338,-7165,-16986,-4924.6
339,-7038.7,-16980,-4938.4
340,-6912,-16974,-4951.9
341,-6784.8,-16966,-4965
342,-6657.2,-16957,-4977.8
343,-6529.2,-16947,-4990.2
344,-6400.6,-16936,-5002.3
345,-6271.7,-16924,-5014.1
346,-6142.3,-16910,-5025.5
347,-6012.4,-16896,-5036.6
348,-5882.1,-16880,-5047.3
349,-5751.4,-16863,-5057.6
350,-5620.2,-16844,-5067.6
351,-5488.6,-16825,-5077.2
352,-5356.5,-16804,-5086.5
353,-5224,-16782,-5095.3
354,-5091.1,-16759,-5103.8
355,-4957.7,-16734,-5111.9
356,-4823.9,-16708,-5119.6
357,-4689.7,-16681,-5127
358,-4555,-16653,-5133.9
359,-4419.9,-16623,-5140.4
360,-4284.5,-16592,-5146.5
361,-4148.6,-16559,-5152.2
362,-4012.3,-16525,-5157.5
363,-3875.5,-16490,-5162.4
364,-3738.4,-16454,-5166.8
365,-3600.9,-16416,-5170.8
366,-3463.1,-16376,-5174.4
367,-3324.8,-16335,-5177.5
368,-3186.2,-16293,-5180.2
369,-3047.2,-16249,-5182.4
370,-2907.8,-16204,-5184.1
371,-2768.1,-16157,-5185.4
372,-2628.1,-16108,-5186.2
373,-2487.7,-16059,-5186.5
374,-2347,-16007,-5186.3
375,-2206.1,-15954,-5185.7
376,-2064.8,-15900,-5184.5
377,-1923.2,-15843,-5182.8
378,-1781.4,-15786,-5180.6
379,-1639.3,-15726,-5177.8
380,-1497,-15665,-5174.6
381,-1354.5,-15603,-5170.8
382,-1211.7,-15538,-5166.4
383,-1068.8,-15472,-5161.5
384,-925.65,-15404,-5156
385,-782.39,-15335,-5150
386,-638.99,-15264,-5143.4
387,-495.48,-15191,-5136.2
388,-351.88,-15116,-5128.4
389,-208.2,-15040,-5120
390,-64.48,-14961,-5111
391,79.265,-14881,-5101.4
392,223.01,-14799,-5091.1
393,366.73,-14715,-5080.3
394,510.39,-14630,-5068.7
395,653.97,-14542,-5056.6
396,797.45,-14453,-5043.8
397,940.78,-14362,-5030.3
398,1083.9,-14269,-5016.1
399,1226.9,-14173,-5001.3
400,1369.6,-14077,-4985.8
401,1512.1,-13978,-4969.6
402,1654.3,-13877,-4952.6
403,1796.1,-13774,-4935
404,1937.6,-13669,-4916.7
405,2078.7,-13563,-4897.6
406,2219.3,-13454,-4877.9
407,2359.4,-13343,-4857.3
408,2499.1,-13231,-4836.1
409,2638.4,-13116,-4814
410,2777.2,-12999,-4791.2
411,2915.5,-12880,-4767.6
412,3053.3,-12759,-4743.2
413,3190.6,-12635,-4717.9
414,3327.3,-12510,-4691.9
415,3463.4,-12382,-4665
416,3598.9,-12252,-4637.2
417,3733.7,-12120,-4608.6
418,3867.8,-11985,-4579.1
419,4001.2,-11848,-4548.7
420,4133.8,-11708,-4517.4
421,4265.6,-11567,-4485.2
422,4396.5,-11422,-4452
423,4526.5,-11276,-4417.8
424,4655.6,-11126,-4382.8
425,4783.7,-10975,-4346.7
426,4910.7,-10820,-4309.6
427,5036.6,-10663,-4271.5
428,5161.4,-10504,-4232.4
429,5284.9,-10342,-4192.2
430,5407.2,-10177,-4151
431,5528.1,-10010,-4108.7
432,5647.6,-9840,-4065.3
433,5765.6,-9667.3,-4020.8
434,5882,-9491.8,-3975.1
435,5996.8,-9313.7,-3928.3
436,6109.8,-9132.8,-3880.4
437,6221.1,-8949.1,-3831.3
438,6330.5,-8762.7,-3781.1
439,6437.8,-8573.5,-3729.6
440,6543.1,-8381.6,-3676.9
441,6646.3,-8186.8,-3623
442,6747.1,-7989.3,-3567.9
443,6845.6,-7789,-3511.5
444,6941.6,-7585.9,-3453.9
445,7035,-7380,-3394.9
446,7125.7,-7171.4,-3334.8
447,7213.6,-6960,-3273.3
448,7298.6,-6746,-3210.5
449,7380.5,-6529.2,-3146.4
450,7459.2,-6309.7,-3081
451,7534.6,-6087.6,-3014.3
452,7606.6,-5862.8,-2946.3
453,7675.1,-5635.5,-2876.9
454,7739.8,-5405.5,-2806.2
455,7800.7,-5173.1,-2734.2
456,7857.6,-4938.2,-2660.8
457,7910.4,-4700.9,-2586.1
458,7959,-4461.2,-2510
459,8003.1,-4219.2,-2432.6
460,8042.7,-3974.9,-2353.9
461,8077.6,-3728.5,-2273.8
462,8107.6,-3479.9,-2192.4
463,8132.6,-3229.2,-2109.7
464,8152.4,-2976.5,-2025.6
465,8166.8,-2721.9,-1940.2
466,8175.8,-2465.5,-1853.5
467,8179,-2207.3,-1765.5
468,8176.4,-1947.5,-1676.2
469,8167.7,-1686,-1585.6
470,8152.8,-1423.1,-1493.8
471,8131.5,-1158.8,-1400.6
472,8103.6,-892.77,-1306.1
473,8068.5,-623.72,-1209.6
474,8026.1,-352.21,-1111.4
475,7976.2,-78.996,-1011.7
476,7918.5,195.24,-910.66
477,7853,469.82,-808.55
478,7779.6,744.14,-705.55
479,7698.2,1017.6,-601.85
480,7609,1289.7,-497.66
481,7511.7,1559.9,-393.13
482,7406.6,1827.7,-288.44
483,7293.8,2092.8,-183.75
484,7173.2,2354.6,-79.193
485,7045,2612.9,25.079
486,6909.4,2867.4,128.94
487,6766.5,3117.6,232.26
488,6616.4,3363.3,334.93
489,6459.4,3604.3,436.83
490,6295.6,3840.4,537.87
491,6125.2,4071.2,637.95
492,5948.5,4296.7,736.97
493,5765.5,4516.7,834.86
494,5576.5,4730.9,931.54
495,5381.8,4939.3,1026.9
496,5181.6,5141.7,1120.9
497,4976,5338,1213.5
498,4765.3,5528.2,1304.7
499,4549.7,5712.1,1394.2
500,4329.5,5889.6,1482.2
501,4104.9,6060.8,1568.5
502,3876.2,6225.4,1653.1
503,3643.5,6383.7,1736
